KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   51   59    1
Estimate
EstimationVariance
0.49471177E-01 0.30451328E-01
 1.0992547     0.16783839    
 14.338042     0.29661763    
 15.223206     0.14411955    
 16.003084     0.94003201E-01
 16.489094     0.95075935E-01
 17.548132     0.17314734    
 15.934353     0.18562579    
 14.193670     0.12303363    
 13.870519     0.45998961E-01
 14.467850     0.10388613    
 13.455317     0.16887055    
 11.266100     0.13810880    
 8.0535374     0.77631503E-01
 3.4490159     0.83494931E-01
 2.6643443     0.12580122    
 6.8106298     0.18857843    
 11.484668     0.15212752    
 15.070547     0.11796708    
 15.998819     0.19042759    
 15.357724     0.23262584    
 14.319623     0.25468221    
 13.493743     0.29799032    
 12.700291     0.33155024    
 11.847893     0.33345193    
 10.296855     0.33807695    
 9.2014837     0.39056224    
 8.2682285     0.49161476    
 7.9073896     0.62270540    
 8.0934696     0.75052738    
 7.4400167     0.84077203    
 7.1691747     0.89684224    
 6.5633307     0.91326129    
 6.5094600     0.88113236    
 5.5374923     0.80750853    
 5.5607176     0.70774537    
 6.1351008     0.59658283    
 6.9223404     0.48033619    
 8.5081053     0.36178571    
 10.634382     0.23013359    
 12.933080     0.10616473    
 13.149425     0.13800903    
 11.510782     0.23980467    
 9.5397797     0.26784009    
 7.3872952     0.24692884    
 4.9614620     0.21101527    
 2.4337471     0.12023676    
0.83486229     0.12975767    
0.21210518     0.24307543    
-.16546947     0.25453401    
-.28566426     0.15643087    
0.18946151     0.70136294E-01
 1.4046394     0.20410217    
 14.410152     0.26471090    
 15.416193     0.13461557    
 16.012291     0.11938315    
 16.485678     0.16032651    
 16.507221     0.18773293    
 15.112885     0.14854112    
 14.187010     0.10220061    
 15.319546     0.23592550E-01
 14.232018     0.13589381    
 12.543565     0.18873754    
 10.839137     0.10652047    
 7.9377813     0.35181183E-01
